,,,,,,,,,,,,,,,,,,,,,,,,,,,
,번호,업체명,전화번호,홈페이지,이메일,팩스,참고사항,,,,,,,,,,,,,,,,,,,,
,1,일반,,,,,,,,,,,,,,,,,,,,,,,,,
,2,옴니허브 ,02-525-1240,https://www.omniherb.com,,,,,,,,,,,,,,,,,,,,,,,
,3,기가허브,,,,,,,,,,,,,,,,,,,,,,,,,
,4,온누리바이오생약,,,,,,,,,,,,,,,,,,,,,,,,,
,5,산야초로,054-331-4880,,,,,,,,,,,,,,,,,,,,,,,,
,6,동양허브,,,,,,,,,,,,,,,,,,,,,,,,,
,7,(주)우리생약,010-5276-7450,,,,,,,,,,,,,,,,,,,,,,,,
,8,약초야(나눔한방허브) ,,,,,,,,,,,,,,,,,,,,,,,,,
,9,농림생약,,,,,,,,,,,,,,,,,,,,,,,,,
,10,아리움단군허브,,https://www.dg-herb.com/,,,,,,,,,,,,,,,,,,,,,,,
,11,동양한방제약,070-4117-3565,,,,발효숙지황,,,,,,,,,,,,,,,,,,,,
,12,옥천당,02.960.5069,ocdherb.com ,wkdbs0842@naver.com,,,,,,,,,,,,,,,,,,,,,,
,13,모아본초,1533-8144,moaboncho.kr ,hanki0306@naver.com,,,,,,,,,,,,,,,,,,,,,,
,14,휴먼허브,053-817-0700,www.humanherb.co.kr,,,,,,,,,,,,,,,,,,,,,,,
,15,원창제약,041-582-0097,www.wonchangco.com,,,법제전문회사 ,,,,,,,,,,,,,,,,,,,,
,16,본초마루,,,,,,,,,,,,,,,,,,,,,,,,,
,17,향나바이오,010-7925-1700,,,,,,,,,,,,,,,,,,,,,,,,
,18,고려수제약,010-6264-4468 / 010-2857-4468,,,,김민성대리  // 녹용취급 ,,,,,,,,,,,,,,,,,,,,
,19,한스약품주식회사,,www.hanswon.kr ,,,"녹용, 인산 전문 ",,,,,,,,,,,,,,,,,,,,
,20,원용제약,,https://dear-green.com/mall/m_login.php?ps_out=1,,,,,,,,,,,,,,,,,,,,,,,
,21,명품 안동생강,02-957-2464,https://eandong.com/new/bbs/page.php?hid=menu02_1_3,,,안동농협 한약재유통센터,,,,,,,,,,,,,,,,,,,,
,22,바이퓨어,,https://bypure.co.kr/,"wskim0523@naver.com
",,전 김남호 옴니허브 부서장님이 있는 곳// 추후 다른곳 리스트도 도움 요청드릴것 250821,,,,,,,,,,,,,,,,,,,,
,23,한의유통,1544-5175,https://www.komd.com,,,,,,,,,,,,,,,,,,,,,,,
,24,광명당한약도매,1833-5868,https://xn--hc0b15iu7g.com,gmd5556@hanmail.net,,,,,,,,,,,,,,,,,,,,,,
,25,경동무약,02-968-2602,,,,gmp 시설 예,,,,,,,,,,,,,,,,,,,,
,26,원창제약합자회사,041-582-0097,http://wonchangco.com,wonchangherb@naver.com,,예,,,,,,,,,,,,,,,,,,,,
,27,나눔제약 ,054-337-2297,http://nanumherb.com,herb1544@daum.net,,예,,,,,,,,,,,,,,,,,,,,
,28,다원제약 ,053-852-2272,,,,예,,,,,,,,,,,,,,,,,,,,
,29,농업회사법인 주식회사 글로벌허브,054-857-0688,,,,예,,,,,,,,,,,,,,,,,,,,
,30,경동한방제약 ,041-751-5066,http://kdherb.com,,,예,,,,,,,,,,,,,,,,,,,,
,31,경신제약 ,031-422-6100,,,,예,,,,,,,,,,,,,,,,,,,,
,32,계림제약,054-776-4991,,,,예,,,,,,,,,,,,,,,,,,,,
,33,농업회사법인 주식회사 광덕,041-751-8238,,,,예,,,,,,,,,,,,,,,,,,,,
,34,고강제약,032-548-2411,,,,예,,,,,,,,,,,,,,,,,,,,
,35,대영제약 ,032-661-6100,,,,예,,,,,,,,,,,,,,,,,,,,
,36,대효제약 ,031-205-4300,,,,예,,,,,,,,,,,,,,,,,,,,
,37, 뉴트리허브,031-462-1999,,,,예,,,,,,,,,,,,,,,,,,,,
,38,그린명품제약,031-620-2222,http://gmppharm.co.kr,,,예,,,,,,,,,,,,,,,,,,,,
,39,신흥제약 ,061-654-7988,http://sh1983.com,,,예,,,,,,,,,,,,,,,,,,,,
,40,천일신약 ,033-748-1809,,,,예,,,,,,,,,,,,,,,,,,,,
,41,화림제약,051-626-7726,,,,예,,,,,,,,,,,,,,,,,,,,
,42,제천 한약재유통지원시설,043-642-2308,,,,,,,,,,,,,,,,,,,,,,,,
,43,진안 한약재유통지원시설,1588-2589,,,,,,,,,,,,,,,,,,,,,,,,
,44,감천약업사,,,,,,,,,,,,,,,,,,,,,,,,,
,45,경일제약사,,,,,,,,,,,,,,,,,,,,,,,,,
,46,금강제약주식회사,,,,,,,,,,,,,,,,,,,,,,,,,
,47,길상제약,,,,,,,,,,,,,,,,,,,,,,,,,
,48,고려바이오홍삼,,,,,,,,,,,,,,,,,,,,,,,,,
,49,선옥발효,,070-7455-9749,,,,,,,,,,,,,,,,,,,,,,,
,50,옥천당 (원외탕전과 상관없음),,,https://www.ocdherb.com/,,,,,,,,,,,,,,,,,,,,,,
,51,농업회사법인 에이치맥스,,,,,,,,,,,,,,,,,,,,,,,,,
,52,농업회사법인 풍산제약주식회사,,,,,,,,,,,,,,,,,,,,,,,,,
,53,녹원유통사업단,,,,,,,,,,,,,,,,,,,,,,,,,
,54,녹원제약,,,,,,,,,,,,,,,,,,,,,,,,,
,55,대연제약,,,,,,,,,,,,,,,,,,,,,,,,,
,56,대흥제약,,,,,,,,,,,,,,,,,,,,,,,,,
,57,덕원제약,,,,,,,,,,,,,,,,,,,,,,,,,
,58,덕인제약,,,,,,,,,,,,,,,,,,,,,,,,,
,59,동우당제약,,,,,,,,,,,,,,,,,,,,,,,,,
,60,동일한방제약,,,,,,,,,,,,,,,,,,,,,,,,,
,61,동화무약,,,,,,,,,,,,,,,,,,,,,,,,,
,62,디앤허브,,,,,,,,,,,,,,,,,,,,,,,,,
,63,디에이치지글로벌,,,,,,,,,,,,,,,,,,,,,,,,,
,64,명가녹용주식회사,,,,,,,,,,,,,,,,,,,,,,,,,
,65,명보제약,,,,,,,,,,,,,,,,,,,,,,,,,
,66,모닝제약,,,,,,,,,,,,,,,,,,,,,,,,,
,67,미륭생약,,,,,,,,,,,,,,,,,,,,,,,,,
,68,보국약품,,,,,,,,,,,,,,,,,,,,,,,,,
,69,보성제약,,,,,,,,,,,,,,,,,,,,,,,,,
,70,보양제약,,,,,,,,,,,,,,,,,,,,,,,,,
,71,본초사랑,,,,,,,,,,,,,,,,,,,,,,,,,
,72,비봉허브,,,,,,,,,,,,,,,,,,,,,,,,,
,73,산들초제약,,,,,,,,,,,,,,,,,,,,,,,,,
,74,삼도제약,,,,,,,,,,,,,,,,,,,,,,,,,
,75,삼원제약,,,,,,,,,,,,,,,,,,,,,,,,,
,76,새롬제약,,,,,,,,,,,,,,,,,,,,,,,,,
,77,서화제약,,,,,,,,,,,,,,,,,,,,,,,,,
,78,선일생약,,,,,,,,,,,,,,,,,,,,,,,,,
,79,성보생약,,,,,,,,,,,,,,,,,,,,,,,,,
,80,세라핌제약,,,,,,,,,,,,,,,,,,,,,,,,,
,81,세화당,,,,,,,,,,,,,,,,,,,,,,,,,
,82,송산제약,,,,,,,,,,,,,,,,,,,,,,,,,
,83,송학약초영농조합법인,,,,,,,,,,,,,,,,,,,,,,,,,
,84,시원생약,,,,,,,,,,,,,,,,,,,,,,,,,
,85,신송강무역,,,,,,,,,,,,,,,,,,,,,,,,,
,86,씨케이,,,,,,,,,,,,,,,,,,,,,,,,,
